word,category,meanHappiness,meanAnger,meanSadness,meanFear,meanDisgust
kpić,U,1.4444444,5.148148,3.4444444,2.9629629,3.3333333
wiertło,U,1.8518518,2.6666667,1.6296296,2.1111112,1.5185186
gramofon,U,4.185185,1.2592592,1.3703704,1.037037,1
delikatny,U,4.4444447,1.1111112,1.2592592,1.4074074,1.2222222
wstyd,U,1.2592592,3.8148148,3.7777777,4.6666665,3.0370371
jąkanie,U,1.4074074,2.8888888,3.1111112,2.6296296,1.8148148
opalony,U,4.4444447,1.2592592,1.2222222,1.4074074,1.3703704
oddział,U,1.8888888,2.074074,1.962963,2.7777777,1.6666666
jazda,U,4.5185184,1.3333334,1.2222222,2.7777777,1.1111112
potworny,U,1.4814814,3.1851852,3.3703704,4.185185,3.851852
działacz,U,3.074074,2.1111112,1.4814814,1.6666666,1.5925926
powieść,U,4.6296296,1.5925926,1.6666666,1.7037038,1.3333334
obowiązkowy,U,3.2592592,2.7407408,1.7777778,2.2592592,1.5185186
lekarz,U,3.148148,2.925926,2.6296296,3.2592592,2.2222223
chłopak,U,4.185185,1.8148148,1.7407408,1.8518518,1.7777778
bestialski,U,1.1111112,5.4444447,5,5.111111,5.296296
potwierdzać,U,3.2592592,1.3333334,1.2962962,1.6296296,1.1111112
kalkulować,U,2.4444444,2.1851852,1.5185186,2.1851852,1.4814814
wypadek,U,1.1481482,3.851852,5.5925927,5.962963,2.6296296
szaleć,U,5.740741,1.8148148,1.2222222,2.2592592,1.5555556
zabezpieczać,U,4.0740743,1.2962962,1.2592592,2.8148148,1.1851852
przewrót,U,2.074074,2.5555556,1.925926,2.8888888,1.5555556
doznawać,U,4.6296296,1.6666666,1.925926,2.2222223,1.6296296
pochopny,U,1.8888888,2.9629629,2.5185184,3.074074,1.962963
Islam,U,1.962963,3.074074,3.1111112,3.7407408,2.5925925
skacowany,U,1.8148148,3.4074075,3.2962964,2.4814816,3.7407408
rozpad,U,1.2962962,3.6296296,4.3333335,3.7777777,2.4814816
debata,U,2.7407408,2.9629629,1.5555556,2.0370371,2
psychoza,U,1.8888888,2.7037036,3.2222223,4.4814816,2.4444444
oferta,U,3.7037036,1.3333334,1.3333334,2.148148,1.2592592
mówić,U,3.7407408,1.8888888,1.7037038,2.2592592,1.3703704
Rosjanin,U,2,2,2.4074075,1.962963,2.148148
pełnia,U,4.740741,1.2222222,1.8148148,1.962963,1
anegdota,U,4.037037,1.3333334,1.2222222,1.3333334,1.2222222
płacić,U,2.2962964,3,2.8148148,2.7777777,1.7407408
prasa,U,2.7407408,2.7407408,1.7037038,1.8518518,2.1851852
mózg,U,4.296296,1.4444444,1.2962962,2.2962964,1.5185186
obrabować,U,1.5555556,4.9259257,3.925926,5.185185,4
pupa,U,3.7407408,1.2962962,1.2222222,1.2222222,1.7037038
pazerny,U,1.3333334,5,3.2222223,2.7037036,4.3703704
lotnisko,U,3.925926,1.2592592,1.7037038,2.7037036,1.037037
szczur,U,1.925926,2.6296296,2.1111112,3.2962964,3.7777777
popołudnie,U,4.4074073,1.2222222,1.2592592,1.3333334,1
kariera,U,5.185185,2.2592592,1.925926,3.4814816,1.4814814
czołg,U,2.2962964,2.7407408,2.851852,3.7777777,2.148148
zjeżdżalnia,U,5.148148,1.1851852,1.1851852,2.1111112,1.074074
upoważniać,U,2.3703704,1.4074074,1.4814814,2.3703704,1.1481482
mięso,U,3.851852,1.4814814,1.5555556,1.4074074,1.8518518
front,U,1.962963,2.7037036,2.8148148,3.5555556,2.2592592
stoicki,U,4.2222223,1.4814814,1.5925926,1.3703704,1.1111112
hasło,U,2.4074075,2,1.2222222,2.2222223,1.4074074
azyl,U,4.6296296,1.4444444,1.8888888,2.0370371,1.4814814
fatalny,U,1.074074,4.296296,4.4444447,4.2222223,2.4814816
wystarczać,U,3.8148148,1.4814814,1.8148148,2,1.1851852
suchar,U,4.037037,1.4814814,1.4074074,1.074074,1.074074
wykonywać,U,3.0370371,1.8518518,1.3333334,2.1111112,1.2222222
loteria,U,4,2.148148,1.7037038,2.3703704,1.5185186
