word,meanAnger
kalkulować,2.1851852
wypadek,3.851852
szaleć,1.8148148
zabezpieczać,1.2962962
przewrót,2.5555556
doznawać,1.6666666
pochopny,2.9629629
Islam,3.074074
skacowany,3.4074075
rozpad,3.6296296
debata,2.9629629
psychoza,2.7037036
oferta,1.3333334
mówić,1.8888888
Rosjanin,2
pełnia,1.2222222
anegdota,1.3333334
płacić,3
prasa,2.7407408
mózg,1.4444444
obrabować,4.9259257
pupa,1.2962962
pazerny,5
lotnisko,1.2592592
szczur,2.6296296
popołudnie,1.2222222
kariera,2.2592592
czołg,2.7407408
zjeżdżalnia,1.1851852
upoważniać,1.4074074
mięso,1.4814814
front,2.7037036
stoicki,1.4814814
hasło,2
azyl,1.4444444
fatalny,4.296296
wystarczać,1.4814814
suchar,1.4814814
wykonywać,1.8518518
loteria,2.148148
socjalistyczny,3.2962964
jęczeć,2.925926
śmierć,3.8148148
podpierać,1.6666666
podstęp,4.888889
kształcić,1.5555556
mieszkać,1.5185186
śmierdzący,4.296296
wizyta,1.7037038
wyrzutek,3.2592592
zegar,2.148148
aromat,1.1111112
instynktowny,1.4444444
nekrolog,2.7777777
porażka,5.296296
hazard,3.8148148
Łazienki,1.1111112
zrzeszać,1.6666666
teleskop,1.2592592
sztywny,2.5555556
przynosić,1.5555556
trud,3.2962964
runda,1.3703704
podjadać,2.5925925
świadkowa,1.1851852
niewierność,5.4074073
fiołkowy,1.074074
wgląd,1.962963
maczuga,2.1851852
przeżycie,1.7777778
panować,2.3333333
powrót,1.6296296
reprezentować,1.4444444
stek,1.2222222
praca,2.6666667
prostytutka,2.3333333
akademia,1.2592592
pożądanie,1.7777778
efekt,1.2222222
łajdak,4.814815
rubin,1.1851852
ssać,1.4814814
separacja,3.6666667
małomówny,2.7037036
ekstaza,1.6666666
firmowy,1.4444444
czyn,1.7037038
bezbronny,3.4814816
krzyk,4.4074073
elastyczny,1.4074074
tragizm,3.5925925
brakować,4.296296
